date,category,value,source,month,year,mom_change,yoy_change,ma_3m,ma_12m,above_3m_ma,above_12m_ma,momentum_3m,momentum_6m
2024-10-01,Equipment Investment Index,113.2,ECOS,10,2024,-3.4129692832764458,4.717853839037933,113.76666666666667,110.19166666666668,0,1,0.010108409024318737,0.01792717086834733
2024-11-01,Equipment Investment Index,111.3,ECOS,11,2024,-1.6784452296819796,2.391904323827032,113.89999999999999,110.40833333333335,0,1,-0.025899912203687394,0.0009059642647428582
2024-12-01,Equipment Investment Index,119.3,ECOS,12,2024,7.187780772686425,8.356039963669403,114.60000000000001,111.175,1,1,0.026614310645724237,-0.004149855907781044
2025-01-01,Equipment Investment Index,98.8,ECOS,1,2025,-17.183570829840733,-4.633204633204635,109.8,110.77499999999999,0,0,-0.05692167577413485,-0.014338963556199288
2025-02-01,Equipment Investment Index,119.8,ECOS,2,2025,21.255060728744944,6.205673758865249,112.63333333333333,111.35833333333333,1,1,0.0022195915951463605,-0.005599932733540795
2025-03-01,Equipment Investment Index,119.2,ECOS,3,2025,-0.5008347245408995,12.559017941454197,112.59999999999998,112.46666666666665,1,1,0.09058614564831263,0.008802816901408534
2025-04-01,Equipment Investment Index,118.6,ECOS,4,2025,-0.5033557046979942,9.81481481481481,119.2,113.34999999999998,0,1,-0.00503355704697989,0.01427323767935118
2025-05-01,Equipment Investment Index,113.0,ECOS,5,2025,-4.721753794266437,9.390125847047436,116.93333333333332,114.15833333333335,0,0,-0.026510832383124176,0.006795411645128501
2020-01-01,Manufacturing Inventory Ratio,101.0,ECOS,1,2020,,,101.0,101.0,0,0,,
2020-02-01,Manufacturing Inventory Ratio,106.2,ECOS,2,2020,5.148514851485153,,103.6,103.6,1,1,0.05019305019305002,
2020-03-01,Manufacturing Inventory Ratio,98.2,ECOS,3,2020,-7.532956685499059,,101.8,101.8,0,0,-0.013752455795677687,-0.013752455795677687
2020-04-01,Manufacturing Inventory Ratio,105.0,ECOS,4,2020,6.924643584521384,,103.13333333333333,102.6,1,1,-0.005817711700064732,0.003898635477582838
2020-05-01,Manufacturing Inventory Ratio,114.7,ECOS,5,2020,9.238095238095244,,105.96666666666668,105.02000000000001,1,1,0.07785467128027675,0.024947629023043084
2020-06-01,Manufacturing Inventory Ratio,105.3,ECOS,6,2020,-8.195292066259817,,108.33333333333333,105.06666666666666,0,1,0.001384615384615466,0.014630166787527175
2020-07-01,Manufacturing Inventory Ratio,102.6,ECOS,7,2020,-2.564102564102566,,107.53333333333335,104.71428571428571,0,0,-0.05626162430254199,0.003526220614828195
2020-08-01,Manufacturing Inventory Ratio,103.2,ECOS,8,2020,0.5847953216374435,,103.7,104.525,0,0,-0.01012536162005805,0.002289348171701169
2020-09-01,Manufacturing Inventory Ratio,96.0,ECOS,9,2020,-6.976744186046513,,100.60000000000001,103.57777777777778,0,0,-0.032803180914512974,-0.022481538882304624
2020-10-01,Manufacturing Inventory Ratio,93.5,ECOS,10,2020,-2.604166666666663,,97.56666666666666,102.57000000000001,0,0,-0.0497096002733173,-0.03713867799679601
2020-11-01,Manufacturing Inventory Ratio,93.0,ECOS,11,2020,-0.5347593582887722,,94.16666666666667,101.7,0,0,-0.015929203539823047,-0.027724297266076264
2020-12-01,Manufacturing Inventory Ratio,94.3,ECOS,12,2020,1.3978494623655857,,93.60000000000001,101.08333333333333,1,0,0.004273504273504294,-0.021950860673826747
2021-01-01,Manufacturing Inventory Ratio,94.6,ECOS,1,2021,0.31813361611876534,-6.336633663366342,93.96666666666665,100.55,1,0,0.00851365732529263,-0.014499527621699542
2021-02-01,Manufacturing Inventory Ratio,93.4,ECOS,2,2021,-1.2684989429175397,-12.052730696798486,94.10000000000001,99.48333333333333,0,0,-0.004782146652497386,-0.0025495750708215826
2021-03-01,Manufacturing Inventory Ratio,93.1,ECOS,3,2021,-0.3211991434689643,-5.1934826883910485,93.7,99.05833333333332,0,0,-0.008004268943436487,-0.0001525436656243249
2021-04-01,Manufacturing Inventory Ratio,92.6,ECOS,4,2021,-0.537056928034374,-11.809523809523814,93.03333333333335,98.02499999999999,0,0,-0.004299534217126523,-0.0020779220779220575
2021-05-01,Manufacturing Inventory Ratio,93.8,ECOS,5,2021,1.2958963282937441,-18.221447253705325,93.16666666666667,96.28333333333335,1,0,0.003756708407871154,-0.0026852464018715257
2021-06-01,Manufacturing Inventory Ratio,92.5,ECOS,6,2021,-1.3859275053304865,-12.155745489078818,92.96666666666665,95.21666666666665,0,0,-0.0005378271782000272,-0.002999999999999975
2021-07-01,Manufacturing Inventory Ratio,93.8,ECOS,7,2021,1.4054054054054133,-8.57699805068226,93.36666666666667,94.48333333333333,1,0,-2.0319341158764638e-17,0.00042918454935615886
2021-08-01,Manufacturing Inventory Ratio,99.6,ECOS,8,2021,6.183368869936023,-3.488372093023262,95.3,94.18333333333332,1,1,0.03725078698845742,0.010551316387892293
2021-09-01,Manufacturing Inventory Ratio,102.2,ECOS,9,2021,2.6104417670682833,6.458333333333344,98.53333333333332,94.69999999999999,1,1,0.042625169147496686,0.01990302126072363
2021-10-01,Manufacturing Inventory Ratio,102.6,ECOS,10,2021,0.3913894324853118,9.7326203208556,101.46666666666665,95.45833333333333,1,1,0.01478318002628125,0.023140657460588975
2021-11-01,Manufacturing Inventory Ratio,101.3,ECOS,11,2021,-1.2670565302144277,8.924731182795686,102.03333333333335,96.14999999999999,0,1,-0.004410323423717646,0.0211389961389961
2021-12-01,Manufacturing Inventory Ratio,102.3,ECOS,12,2021,0.9871668311944637,8.483563096500536,102.06666666666666,96.81666666666666,1,1,-0.0014696276943173309,0.013673265916536038
