date,region,country,value,unit,sector,source
2024-03-01,Asia,New Zealand,0.0,thousand USD,energy,PETRONET
2024-03-01,Asia,New Zealand,0.0,USD/bbl,energy,PETRONET
2024-03-01,Asia,Papua New Guinea,0.0,thousand bbl,energy,PETRONET
2024-03-01,Asia,Papua New Guinea,0.0,thousand USD,energy,PETRONET
2024-03-01,Asia,Papua New Guinea,0.0,USD/bbl,energy,PETRONET
2024-03-01,Asia,Philippines,0.0,thousand bbl,energy,PETRONET
2024-03-01,Asia,Philippines,0.0,thousand USD,energy,PETRONET
2024-03-01,Asia,Philippines,0.0,USD/bbl,energy,PETRONET
2024-03-01,Europe,Europe,1.15,percentage,energy,PETRONET
2024-03-01,Europe,Europe,956.0,thousand bbl,energy,PETRONET
2024-03-01,Europe,Europe,80076.0,thousand USD,energy,PETRONET
2024-03-01,Europe,Europe,41.875,USD/bbl,energy,PETRONET
2024-03-01,Europe,Norway,0.0,thousand bbl,energy,PETRONET
2024-03-01,Europe,Norway,0.0,thousand USD,energy,PETRONET
2024-03-01,Europe,Norway,0.0,USD/bbl,energy,PETRONET
2024-03-01,Europe,United Kingdom,956.0,thousand bbl,energy,PETRONET
2024-03-01,Europe,United Kingdom,80076.0,thousand USD,energy,PETRONET
2024-03-01,Europe,United Kingdom,83.75,USD/bbl,energy,PETRONET
2024-03-01,MiddleEast,Iraq,8000.0,thousand bbl,energy,PETRONET
2024-03-01,MiddleEast,Iraq,636710.0,thousand USD,energy,PETRONET
2024-03-01,MiddleEast,Iraq,79.59,USD/bbl,energy,PETRONET
2024-03-01,MiddleEast,Kuwait,5224.0,thousand bbl,energy,PETRONET
2024-03-01,MiddleEast,Kuwait,435139.0,thousand USD,energy,PETRONET
2024-03-01,MiddleEast,Kuwait,83.3,USD/bbl,energy,PETRONET
2024-03-01,MiddleEast,MiddleEast,75.65,percentage,energy,PETRONET
2024-03-01,MiddleEast,MiddleEast,62350.0,thousand bbl,energy,PETRONET
2024-03-01,MiddleEast,MiddleEast,5253651.0,thousand USD,energy,PETRONET
2024-03-01,MiddleEast,MiddleEast,71.37285714285714,USD/bbl,energy,PETRONET
2024-03-01,MiddleEast,Neutral Zone,4446.0,thousand bbl,energy,PETRONET
2024-03-01,MiddleEast,Neutral Zone,373663.0,thousand USD,energy,PETRONET
2024-03-01,MiddleEast,Neutral Zone,84.05,USD/bbl,energy,PETRONET
2024-03-01,MiddleEast,Oman,0.0,thousand bbl,energy,PETRONET
2024-03-01,MiddleEast,Oman,0.0,thousand USD,energy,PETRONET
2024-03-01,MiddleEast,Oman,0.0,USD/bbl,energy,PETRONET
2024-03-01,MiddleEast,Qatar,4861.0,thousand bbl,energy,PETRONET
2024-03-01,MiddleEast,Qatar,395949.0,thousand USD,energy,PETRONET
2024-03-01,MiddleEast,Qatar,81.45,USD/bbl,energy,PETRONET
2024-03-01,MiddleEast,Saudi Arabia,25838.0,thousand bbl,energy,PETRONET
2024-03-01,MiddleEast,Saudi Arabia,2218818.0,thousand USD,energy,PETRONET
2024-03-01,MiddleEast,Saudi Arabia,85.87,USD/bbl,energy,PETRONET
2024-03-01,MiddleEast,UAE,13981.0,thousand bbl,energy,PETRONET
2024-03-01,MiddleEast,UAE,1193372.0,thousand USD,energy,PETRONET
2024-03-01,MiddleEast,UAE,85.35,USD/bbl,energy,PETRONET
2024-03-01,Total,Total,82586.0,thousand bbl,energy,PETRONET
2024-03-01,Total,Total,6944595.0,thousand USD,energy,PETRONET
2024-03-01,Total,Total,84.09,USD/bbl,energy,PETRONET
2024-04-01,Africa,Africa,1.54,percentage,energy,PETRONET
2024-04-01,Africa,Africa,1290.0,thousand bbl,energy,PETRONET
2024-04-01,Africa,Africa,121842.0,thousand USD,energy,PETRONET
2024-04-01,Africa,Africa,38.484,USD/bbl,energy,PETRONET
2024-04-01,Africa,Algeria,1047.0,thousand bbl,energy,PETRONET
2024-04-01,Africa,Algeria,97757.0,thousand USD,energy,PETRONET
2024-04-01,Africa,Algeria,93.34,USD/bbl,energy,PETRONET
2024-04-01,Africa,Congo,0.0,thousand bbl,energy,PETRONET
2024-04-01,Africa,Congo,0.0,thousand USD,energy,PETRONET
2024-04-01,Africa,Congo,0.0,USD/bbl,energy,PETRONET
2024-04-01,Africa,Equatorial Guinea,0.0,thousand bbl,energy,PETRONET
2024-04-01,Africa,Equatorial Guinea,0.0,thousand USD,energy,PETRONET
2024-04-01,Africa,Equatorial Guinea,0.0,USD/bbl,energy,PETRONET
2024-04-01,Africa,Gabon,0.0,thousand bbl,energy,PETRONET
2024-04-01,Africa,Gabon,0.0,thousand USD,energy,PETRONET
2024-04-01,Africa,Gabon,0.0,USD/bbl,energy,PETRONET
2024-04-01,Africa,Mozambique,243.0,thousand bbl,energy,PETRONET
2024-04-01,Africa,Mozambique,24085.0,thousand USD,energy,PETRONET
2024-04-01,Africa,Mozambique,99.08,USD/bbl,energy,PETRONET
2024-04-01,Africa,Nigeria,0.0,thousand bbl,energy,PETRONET
2024-04-01,Africa,Nigeria,0.0,thousand USD,energy,PETRONET
2024-04-01,Africa,Nigeria,0.0,USD/bbl,energy,PETRONET
2024-04-01,America,America,18.74,percentage,energy,PETRONET
2024-04-01,America,America,17118.0,thousand bbl,energy,PETRONET
2024-04-01,America,America,1485127.0,thousand USD,energy,PETRONET
2024-04-01,America,America,51.396,USD/bbl,energy,PETRONET
2024-04-01,America,Brazil,2779.0,thousand bbl,energy,PETRONET
2024-04-01,America,Brazil,261047.0,thousand USD,energy,PETRONET
2024-04-01,America,Brazil,93.95,USD/bbl,energy,PETRONET
2024-04-01,America,Canada,0.0,thousand bbl,energy,PETRONET
2024-04-01,America,Canada,0.0,thousand USD,energy,PETRONET
2024-04-01,America,Canada,0.0,USD/bbl,energy,PETRONET
2024-04-01,America,Ecuador,0.0,thousand bbl,energy,PETRONET
2024-04-01,America,Ecuador,0.0,thousand USD,energy,PETRONET
2024-04-01,America,Ecuador,0.0,USD/bbl,energy,PETRONET
2024-04-01,America,Mexico,1972.0,thousand bbl,energy,PETRONET
2024-04-01,America,Mexico,150299.0,thousand USD,energy,PETRONET
2024-04-01,America,Mexico,76.2,USD/bbl,energy,PETRONET
2024-04-01,America,United States,12367.0,thousand bbl,energy,PETRONET
2024-04-01,America,United States,1073781.0,thousand USD,energy,PETRONET
2024-04-01,America,United States,86.83,USD/bbl,energy,PETRONET
2024-04-01,Asia,Asia,5.1,percentage,energy,PETRONET
2024-04-01,Asia,Asia,4583.0,thousand bbl,energy,PETRONET
2024-04-01,Asia,Asia,403742.0,thousand USD,energy,PETRONET
2024-04-01,Asia,Asia,50.12285714285714,USD/bbl,energy,PETRONET
2024-04-01,Asia,Australia,2636.0,thousand bbl,energy,PETRONET
2024-04-01,Asia,Australia,236400.0,thousand USD,energy,PETRONET
2024-04-01,Asia,Australia,89.67,USD/bbl,energy,PETRONET
2024-04-01,Asia,Indonesia,266.0,thousand bbl,energy,PETRONET
2024-04-01,Asia,Indonesia,23583.0,thousand USD,energy,PETRONET
2024-04-01,Asia,Indonesia,88.69,USD/bbl,energy,PETRONET
2024-04-01,Asia,Kazakhstan,1093.0,thousand bbl,energy,PETRONET
2024-04-01,Asia,Kazakhstan,91589.0,thousand USD,energy,PETRONET
2024-04-01,Asia,Kazakhstan,83.81,USD/bbl,energy,PETRONET
2024-04-01,Asia,Malaysia,0.0,thousand bbl,energy,PETRONET
2024-04-01,Asia,Malaysia,0.0,thousand USD,energy,PETRONET
2024-04-01,Asia,Malaysia,0.0,USD/bbl,energy,PETRONET
2024-04-01,Asia,New Zealand,588.0,thousand bbl,energy,PETRONET
2024-04-01,Asia,New Zealand,52170.0,thousand USD,energy,PETRONET
2024-04-01,Asia,New Zealand,88.69,USD/bbl,energy,PETRONET
2024-04-01,Asia,Papua New Guinea,0.0,thousand bbl,energy,PETRONET
2024-04-01,Asia,Papua New Guinea,0.0,thousand USD,energy,PETRONET
2024-04-01,Asia,Papua New Guinea,0.0,USD/bbl,energy,PETRONET
2024-04-01,Asia,Philippines,0.0,thousand bbl,energy,PETRONET
2024-04-01,Asia,Philippines,0.0,thousand USD,energy,PETRONET
2024-04-01,Asia,Philippines,0.0,USD/bbl,energy,PETRONET
2024-04-01,Europe,Europe,0.0,percentage,energy,PETRONET
2024-04-01,Europe,Europe,0.0,thousand bbl,energy,PETRONET
2024-04-01,Europe,Europe,0.0,thousand USD,energy,PETRONET
