date,indicator,value,unit,source
2008-08-01,Leading Index,98.5,index,ECOS
2008-08-01,Leading–Coincident Spread,-2.200000000000003,index,ECOS
2008-09-01,KOSPI,1448.06005859375,index,ECOS
2008-09-01,Coincident Index,100.6,index,ECOS
2008-09-01,Leading Index,98.3,index,ECOS
2008-09-01,Leading–Coincident Spread,-2.299999999999997,index,ECOS
2008-10-01,KOSPI,1113.06005859375,index,ECOS
2008-10-01,Coincident Index,100.3,index,ECOS
2008-10-01,Leading Index,97.9,index,ECOS
2008-10-01,Leading–Coincident Spread,-2.3999999999999915,index,ECOS
2008-11-01,KOSPI,1076.0699462890625,index,ECOS
2008-11-01,Coincident Index,99.6,index,ECOS
2008-11-01,Leading Index,97.4,index,ECOS
2008-11-01,Leading–Coincident Spread,-2.1999999999999886,index,ECOS
2008-12-01,KOSPI,1124.469970703125,index,ECOS
2008-12-01,Coincident Index,98.5,index,ECOS
2008-12-01,Leading Index,97.2,index,ECOS
2008-12-01,Leading–Coincident Spread,-1.2999999999999972,index,ECOS
2009-01-01,KOSPI,1162.1099853515625,index,ECOS
2009-01-01,Coincident Index,97.7,index,ECOS
2009-01-01,Leading Index,97.0,index,ECOS
2009-01-01,Leading–Coincident Spread,-0.7000000000000028,index,ECOS
2009-02-01,KOSPI,1063.030029296875,index,ECOS
2009-02-01,Coincident Index,97.6,index,ECOS
2009-02-01,Leading Index,97.5,index,ECOS
2009-02-01,Leading–Coincident Spread,-0.0999999999999943,index,ECOS
2009-03-01,KOSPI,1206.260009765625,index,ECOS
2009-03-01,Coincident Index,97.6,index,ECOS
2009-03-01,Leading Index,97.9,index,ECOS
2009-03-01,Leading–Coincident Spread,0.3000000000000113,index,ECOS
2009-04-01,KOSPI,1369.3599853515625,index,ECOS
2009-04-01,Coincident Index,97.8,index,ECOS
2009-04-01,Leading Index,99.1,index,ECOS
2009-04-01,Leading–Coincident Spread,1.2999999999999972,index,ECOS
2009-05-01,KOSPI,1395.8900146484375,index,ECOS
2009-05-01,Coincident Index,97.8,index,ECOS
2009-05-01,Leading Index,99.7,index,ECOS
2009-05-01,Leading–Coincident Spread,1.9000000000000057,index,ECOS
2009-06-01,KOSPI,1390.0699462890625,index,ECOS
2009-06-01,Coincident Index,98.4,index,ECOS
2009-06-01,Leading Index,100.5,index,ECOS
2009-06-01,Leading–Coincident Spread,2.0999999999999943,index,ECOS
2009-07-01,KOSPI,1557.2900390625,index,ECOS
2009-07-01,Coincident Index,98.6,index,ECOS
2009-07-01,Leading Index,100.6,index,ECOS
2009-07-01,Leading–Coincident Spread,2.0,index,ECOS
2009-08-01,KOSPI,1591.8499755859375,index,ECOS
2009-08-01,Coincident Index,98.7,index,ECOS
2009-08-01,Leading Index,100.8,index,ECOS
2009-08-01,Leading–Coincident Spread,2.0999999999999943,index,ECOS
2009-09-01,KOSPI,1673.1400146484375,index,ECOS
2009-09-01,Coincident Index,98.9,index,ECOS
2009-09-01,Leading Index,101.0,index,ECOS
2009-09-01,Leading–Coincident Spread,2.0999999999999943,index,ECOS
2009-10-01,KOSPI,1580.68994140625,index,ECOS
2009-10-01,Coincident Index,99.1,index,ECOS
2009-10-01,Leading Index,101.5,index,ECOS
2009-10-01,Leading–Coincident Spread,2.4000000000000057,index,ECOS
2009-11-01,KOSPI,1555.5999755859375,index,ECOS
2009-11-01,Coincident Index,99.2,index,ECOS
2009-11-01,Leading Index,102.1,index,ECOS
2009-11-01,Leading–Coincident Spread,2.8999999999999915,index,ECOS
2009-12-01,KOSPI,1682.77001953125,index,ECOS
2009-12-01,Coincident Index,99.1,index,ECOS
2009-12-01,Leading Index,102.4,index,ECOS
2009-12-01,Leading–Coincident Spread,3.300000000000012,index,ECOS
2010-01-01,KOSPI,1602.4300537109375,index,ECOS
2010-01-01,Coincident Index,99.3,index,ECOS
2010-01-01,Leading Index,102.6,index,ECOS
2010-01-01,Leading–Coincident Spread,3.299999999999997,index,ECOS
2010-02-01,KOSPI,1594.5799560546875,index,ECOS
2010-02-01,Coincident Index,99.8,index,ECOS
2010-02-01,Leading Index,102.4,index,ECOS
2010-02-01,Leading–Coincident Spread,2.6000000000000085,index,ECOS
2010-03-01,KOSPI,1692.8499755859375,index,ECOS
2010-03-01,Coincident Index,100.2,index,ECOS
2010-03-01,Leading Index,102.1,index,ECOS
2010-03-01,Leading–Coincident Spread,1.899999999999992,index,ECOS
2010-04-01,KOSPI,1741.56005859375,index,ECOS
2010-04-01,Coincident Index,100.4,index,ECOS
2010-04-01,Leading Index,101.9,index,ECOS
2010-04-01,Leading–Coincident Spread,1.5,index,ECOS
2010-05-01,KOSPI,1641.25,index,ECOS
2010-05-01,Coincident Index,100.8,index,ECOS
2010-05-01,Leading Index,102.0,index,ECOS
2010-05-01,Leading–Coincident Spread,1.2000000000000028,index,ECOS
