date,currency,quote,exchange_rate,unit,source,pair
2005-07-01,JPY,KRW,927.21,원,ECOS,JPY/KRW
2005-07-01,USD,KRW,1037.44,원,ECOS,USD/KRW
2005-08-01,EUR,KRW,1254.49,원,ECOS,EUR/KRW
2005-08-01,EUR,USD,1.2285,달러,ECOS,EUR/USD
2005-08-01,JPY,KRW,921.82,원,ECOS,JPY/KRW
2005-08-01,USD,KRW,1021.17,원,ECOS,USD/KRW
2005-09-01,EUR,KRW,1262.1,원,ECOS,EUR/KRW
2005-09-01,EUR,USD,1.2261,달러,ECOS,EUR/USD
2005-09-01,JPY,KRW,927.11,원,ECOS,JPY/KRW
2005-09-01,USD,KRW,1029.33,원,ECOS,USD/KRW
2005-10-01,EUR,KRW,1257.99,원,ECOS,EUR/KRW
2005-10-01,EUR,USD,1.2024,달러,ECOS,EUR/USD
2005-10-01,JPY,KRW,910.85,원,ECOS,JPY/KRW
2005-10-01,USD,KRW,1046.25,원,ECOS,USD/KRW
2005-11-01,EUR,KRW,1229.01,원,ECOS,EUR/KRW
2005-11-01,EUR,USD,1.1801,달러,ECOS,EUR/USD
2005-11-01,JPY,KRW,880.09,원,ECOS,JPY/KRW
2005-11-01,USD,KRW,1041.43,원,ECOS,USD/KRW
2005-12-01,EUR,KRW,1214.04,원,ECOS,EUR/KRW
2005-12-01,EUR,USD,1.1854,달러,ECOS,EUR/USD
2005-12-01,JPY,KRW,863.89,원,ECOS,JPY/KRW
2005-12-01,USD,KRW,1024.15,원,ECOS,USD/KRW
2006-01-01,EUR,KRW,1194.81,원,ECOS,EUR/KRW
2006-01-01,EUR,USD,1.2106,달러,ECOS,EUR/USD
2006-01-01,JPY,KRW,854.32,원,ECOS,JPY/KRW
2006-01-01,USD,KRW,987.03,원,ECOS,USD/KRW
2006-02-01,EUR,KRW,1159.69,원,ECOS,EUR/KRW
2006-02-01,EUR,USD,1.1953,달러,ECOS,EUR/USD
2006-02-01,JPY,KRW,822.41,원,ECOS,JPY/KRW
2006-02-01,USD,KRW,970.22,원,ECOS,USD/KRW
2006-03-01,EUR,KRW,1172.83,원,ECOS,EUR/KRW
2006-03-01,EUR,USD,1.2028,달러,ECOS,EUR/USD
2006-03-01,JPY,KRW,831.26,원,ECOS,JPY/KRW
2006-03-01,USD,KRW,975.09,원,ECOS,USD/KRW
2006-04-01,EUR,KRW,1169.88,원,ECOS,EUR/KRW
2006-04-01,EUR,USD,1.2258,달러,ECOS,EUR/USD
2006-04-01,JPY,KRW,814.84,원,ECOS,JPY/KRW
2006-04-01,USD,KRW,954.44,원,ECOS,USD/KRW
2006-05-01,EUR,KRW,1201.65,원,ECOS,EUR/KRW
2006-05-01,EUR,USD,1.2764,달러,ECOS,EUR/USD
2006-05-01,JPY,KRW,843.01,원,ECOS,JPY/KRW
2006-05-01,USD,KRW,941.4,원,ECOS,USD/KRW
2006-06-01,EUR,KRW,1208.68,원,ECOS,EUR/KRW
2006-06-01,EUR,USD,1.2655,달러,ECOS,EUR/USD
2006-06-01,JPY,KRW,833.02,원,ECOS,JPY/KRW
2006-06-01,USD,KRW,955.16,원,ECOS,USD/KRW
2006-07-01,EUR,KRW,1206.22,원,ECOS,EUR/KRW
2006-07-01,EUR,USD,1.2695,달러,ECOS,EUR/USD
2006-07-01,JPY,KRW,821.39,원,ECOS,JPY/KRW
2006-07-01,USD,KRW,950.15,원,ECOS,USD/KRW
2006-08-01,EUR,KRW,1230.6,원,ECOS,EUR/KRW
2006-08-01,EUR,USD,1.2809,달러,ECOS,EUR/USD
2006-08-01,JPY,KRW,829.71,원,ECOS,JPY/KRW
2006-08-01,USD,KRW,960.72,원,ECOS,USD/KRW
2006-09-01,EUR,KRW,1214.86,원,ECOS,EUR/KRW
2006-09-01,EUR,USD,1.2738,달러,ECOS,EUR/USD
2006-09-01,JPY,KRW,814.28,원,ECOS,JPY/KRW
2006-09-01,USD,KRW,953.68,원,ECOS,USD/KRW
2006-10-01,EUR,KRW,1202.44,원,ECOS,EUR/KRW
2006-10-01,EUR,USD,1.2601,달러,ECOS,EUR/USD
2006-10-01,JPY,KRW,803.15,원,ECOS,JPY/KRW
2006-10-01,USD,KRW,954.23,원,ECOS,USD/KRW
2006-11-01,EUR,KRW,1205.32,원,ECOS,EUR/KRW
2006-11-01,EUR,USD,1.2874,달러,ECOS,EUR/USD
2006-11-01,JPY,KRW,798.03,원,ECOS,JPY/KRW
2006-11-01,USD,KRW,936.22,원,ECOS,USD/KRW
2006-12-01,EUR,KRW,1222.79,원,ECOS,EUR/KRW
2006-12-01,EUR,USD,1.3208,달러,ECOS,EUR/USD
2006-12-01,JPY,KRW,790.23,원,ECOS,JPY/KRW
2006-12-01,USD,KRW,925.75,원,ECOS,USD/KRW
2007-01-01,EUR,KRW,1216.97,원,ECOS,EUR/KRW
2007-01-01,EUR,USD,1.2997,달러,ECOS,EUR/USD
2007-01-01,JPY,KRW,777.94,원,ECOS,JPY/KRW
2007-01-01,USD,KRW,936.36,원,ECOS,USD/KRW
2007-02-01,EUR,KRW,1225.14,원,ECOS,EUR/KRW
2007-02-01,EUR,USD,1.3074,달러,ECOS,EUR/USD
2007-02-01,JPY,KRW,776.82,원,ECOS,JPY/KRW
2007-02-01,USD,KRW,937.02,원,ECOS,USD/KRW
2007-03-01,EUR,KRW,1249.37,원,ECOS,EUR/KRW
2007-03-01,EUR,USD,1.3245,달러,ECOS,EUR/USD
2007-03-01,JPY,KRW,804.82,원,ECOS,JPY/KRW
2007-03-01,USD,KRW,943.26,원,ECOS,USD/KRW
2007-04-01,EUR,KRW,1257.65,원,ECOS,EUR/KRW
2007-04-01,EUR,USD,1.3502,달러,ECOS,EUR/USD
2007-04-01,JPY,KRW,783.65,원,ECOS,JPY/KRW
2007-04-01,USD,KRW,931.5,원,ECOS,USD/KRW
2007-05-01,EUR,KRW,1254.11,원,ECOS,EUR/KRW
2007-05-01,EUR,USD,1.3515,달러,ECOS,EUR/USD
2007-05-01,JPY,KRW,768.53,원,ECOS,JPY/KRW
2007-05-01,USD,KRW,927.91,원,ECOS,USD/KRW
2007-06-01,EUR,KRW,1244.93,원,ECOS,EUR/KRW
2007-06-01,EUR,USD,1.341,달러,ECOS,EUR/USD
2007-06-01,JPY,KRW,757.05,원,ECOS,JPY/KRW
2007-06-01,USD,KRW,928.32,원,ECOS,USD/KRW
2007-07-01,EUR,KRW,1260.03,원,ECOS,EUR/KRW
2007-07-01,EUR,USD,1.3713,달러,ECOS,EUR/USD
2007-07-01,JPY,KRW,755.57,원,ECOS,JPY/KRW
2007-07-01,USD,KRW,918.85,원,ECOS,USD/KRW
2007-08-01,EUR,KRW,1272.4,원,ECOS,EUR/KRW
2007-08-01,EUR,USD,1.3627,달러,ECOS,EUR/USD
2007-08-01,JPY,KRW,799.84,원,ECOS,JPY/KRW
2007-08-01,USD,KRW,933.8,원,ECOS,USD/KRW
2007-09-01,EUR,KRW,1291.19,원,ECOS,EUR/KRW
2007-09-01,EUR,USD,1.3849,달러,ECOS,EUR/USD
2007-09-01,JPY,KRW,810.55,원,ECOS,JPY/KRW
2007-09-01,USD,KRW,932.41,원,ECOS,USD/KRW
2007-10-01,EUR,KRW,1303.27,원,ECOS,EUR/KRW
2007-10-01,EUR,USD,1.423,달러,ECOS,EUR/USD
2007-10-01,JPY,KRW,790.74,원,ECOS,JPY/KRW
2007-10-01,USD,KRW,915.86,원,ECOS,USD/KRW
2007-11-01,EUR,KRW,1345.6,원,ECOS,EUR/KRW
2007-11-01,EUR,USD,1.4673,달러,ECOS,EUR/USD
2007-11-01,JPY,KRW,826.2,원,ECOS,JPY/KRW
2007-11-01,USD,KRW,916.98,원,ECOS,USD/KRW
2007-12-01,EUR,KRW,1355.24,원,ECOS,EUR/KRW
2007-12-01,EUR,USD,1.4569,달러,ECOS,EUR/USD
2007-12-01,JPY,KRW,828.42,원,ECOS,JPY/KRW
2007-12-01,USD,KRW,930.24,원,ECOS,USD/KRW
2008-01-01,EUR,KRW,1386.21,원,ECOS,EUR/KRW
2008-01-01,EUR,USD,1.4709,달러,ECOS,EUR/USD
2008-01-01,JPY,KRW,872.92,원,ECOS,JPY/KRW
2008-01-01,USD,KRW,942.39,원,ECOS,USD/KRW
2008-02-01,EUR,KRW,1395.43,원,ECOS,EUR/KRW
2008-02-01,EUR,USD,1.4771,달러,ECOS,EUR/USD
2008-02-01,JPY,KRW,880.57,원,ECOS,JPY/KRW
2008-02-01,USD,KRW,944.69,원,ECOS,USD/KRW
2008-03-01,EUR,KRW,1519.51,원,ECOS,EUR/KRW
2008-03-01,EUR,USD,1.5504,달러,ECOS,EUR/USD
2008-03-01,JPY,KRW,972.3,원,ECOS,JPY/KRW
2008-03-01,USD,KRW,979.86,원,ECOS,USD/KRW
2008-04-01,EUR,KRW,1555.05,원,ECOS,EUR/KRW
2008-04-01,EUR,USD,1.576,달러,ECOS,EUR/USD
2008-04-01,JPY,KRW,962.35,원,ECOS,JPY/KRW
2008-04-01,USD,KRW,986.66,원,ECOS,USD/KRW
2008-05-01,EUR,KRW,1614.55,원,ECOS,EUR/KRW
2008-05-01,EUR,USD,1.5572,달러,ECOS,EUR/USD
2008-05-01,JPY,KRW,994.18,원,ECOS,JPY/KRW
2008-05-01,USD,KRW,1036.73,원,ECOS,USD/KRW
2008-06-01,EUR,KRW,1601.73,원,ECOS,EUR/KRW
2008-06-01,EUR,USD,1.5562,달러,ECOS,EUR/USD
2008-06-01,JPY,KRW,963.02,원,ECOS,JPY/KRW
2008-06-01,USD,KRW,1029.27,원,ECOS,USD/KRW
