date,partner,Total Exports,Total Imports,trade_balance
2021-12-01,Indonesia,1003991.0,1295684.0,-291693.0
2021-12-01,Italy,0.0,624277.0,-624277.0
2021-12-01,Malaysia,0.0,1144029.0,-1144029.0
2021-12-01,Philippines,1161609.0,0.0,1161609.0
2021-12-01,Russia,1057351.0,0.0,1057351.0
2021-12-01,Singapore,0.0,902243.0,-902243.0
2021-12-01,Thailand,714433.0,628271.0,86162.0
2021-12-01,United Arab Emirates,0.0,723200.0,-723200.0
2021-12-01,United States,8787542.0,5701577.0,3085965.0
2021-12-01,World,60734117.0,0.0,60734117.0
2022-01-01,Australia,1061362.0,0.0,1061362.0
2022-01-01,Canada,682875.0,0.0,682875.0
2022-01-01,China,13369829.0,13178864.0,190965.0
2022-01-01,France,0.0,552366.0,-552366.0
2022-01-01,Germany,807233.0,0.0,807233.0
2022-01-01,India,0.0,695030.0,-695030.0
2022-01-01,Indonesia,898239.0,1377844.0,-479605.0
2022-01-01,Italy,0.0,644733.0,-644733.0
2022-01-01,Malaysia,0.0,1563302.0,-1563302.0
2022-01-01,Philippines,979063.0,0.0,979063.0
2022-01-01,Russia,807990.0,0.0,807990.0
2022-01-01,Singapore,0.0,915495.0,-915495.0
2022-01-01,Thailand,770246.0,555686.0,214560.0
2022-01-01,United Arab Emirates,0.0,803309.0,-803309.0
2022-01-01,United States,8569920.0,7105625.0,1464295.0
2022-01-01,World,55455376.0,0.0,55455376.0
2022-02-01,Australia,1090496.0,0.0,1090496.0
2022-02-01,Canada,591993.0,0.0,591993.0
2022-02-01,China,13042436.0,10410116.0,2632320.0
2022-02-01,France,0.0,595409.0,-595409.0
2022-02-01,Germany,743495.0,0.0,743495.0
2022-02-01,India,0.0,732730.0,-732730.0
2022-02-01,Indonesia,748972.0,1058060.0,-309088.0
2022-02-01,Italy,0.0,632366.0,-632366.0
2022-02-01,Malaysia,0.0,1208933.0,-1208933.0
2022-02-01,Philippines,996592.0,0.0,996592.0
2022-02-01,Russia,931565.0,0.0,931565.0
2022-02-01,Singapore,0.0,758087.0,-758087.0
2022-02-01,Thailand,684582.0,671320.0,13262.0
2022-02-01,United Arab Emirates,0.0,497593.0,-497593.0
2022-02-01,United States,7740905.0,5965125.0,1775780.0
2022-02-01,World,54155835.0,0.0,54155835.0
2022-03-01,Australia,1669483.0,0.0,1669483.0
2022-03-01,Canada,759679.0,0.0,759679.0
2022-03-01,China,15642332.0,12626984.0,3015348.0
2022-03-01,France,0.0,662188.0,-662188.0
2022-03-01,Germany,957361.0,0.0,957361.0
2022-03-01,India,0.0,983453.0,-983453.0
2022-03-01,Indonesia,875279.0,1530251.0,-654972.0
2022-03-01,Italy,0.0,730132.0,-730132.0
2022-03-01,Malaysia,0.0,1325683.0,-1325683.0
2022-03-01,Philippines,1160444.0,0.0,1160444.0
2022-03-01,Russia,349729.0,0.0,349729.0
2022-03-01,Singapore,0.0,753832.0,-753832.0
2022-03-01,Thailand,786644.0,761291.0,25353.0
2022-03-01,United Arab Emirates,0.0,807265.0,-807265.0
2022-03-01,United States,9638757.0,6996572.0,2642185.0
2022-03-01,World,63786835.0,0.0,63786835.0
2022-04-01,Australia,1575454.0,0.0,1575454.0
2022-04-01,Canada,734222.0,0.0,734222.0
2022-04-01,China,12949234.0,12332268.0,616966.0
2022-04-01,France,0.0,591813.0,-591813.0
2022-04-01,Germany,897849.0,0.0,897849.0
2022-04-01,India,0.0,891258.0,-891258.0
2022-04-01,Indonesia,861040.0,1250956.0,-389916.0
2022-04-01,Italy,0.0,678747.0,-678747.0
2022-04-01,Malaysia,0.0,1168138.0,-1168138.0
2022-04-01,Philippines,1234243.0,0.0,1234243.0
2022-04-01,Russia,244837.0,0.0,244837.0
2022-04-01,Singapore,0.0,842717.0,-842717.0
2022-04-01,Thailand,777160.0,723400.0,53760.0
2022-04-01,United Arab Emirates,0.0,1093859.0,-1093859.0
2022-04-01,United States,9605726.0,6606658.0,2999068.0
2022-04-01,World,57842816.0,0.0,57842816.0
2022-05-01,Australia,1970570.0,0.0,1970570.0
2022-05-01,Canada,685236.0,0.0,685236.0
2022-05-01,China,13419779.0,14515941.0,-1096162.0
2022-05-01,France,0.0,676971.0,-676971.0
2022-05-01,Germany,893904.0,0.0,893904.0
2022-05-01,India,0.0,1078170.0,-1078170.0
2022-05-01,Indonesia,1024150.0,1319683.0,-295533.0
2022-05-01,Italy,0.0,727013.0,-727013.0
2022-05-01,Malaysia,0.0,997825.0,-997825.0
2022-05-01,Philippines,1264887.0,0.0,1264887.0
2022-05-01,Russia,313499.0,0.0,313499.0
2022-05-01,Singapore,0.0,857067.0,-857067.0
2022-05-01,Thailand,792675.0,683648.0,109027.0
2022-05-01,United Arab Emirates,0.0,1013240.0,-1013240.0
2022-05-01,United States,9620649.0,7196286.0,2424363.0
2022-05-01,World,61591326.0,0.0,61591326.0
2022-06-01,Australia,1578813.0,0.0,1578813.0
2022-06-01,Canada,658856.0,0.0,658856.0
2022-06-01,China,12960973.0,14158524.0,-1197551.0
2022-06-01,France,0.0,632876.0,-632876.0
2022-06-01,Germany,864252.0,0.0,864252.0
2022-06-01,India,0.0,855862.0,-855862.0
2022-06-01,Indonesia,845198.0,1064062.0,-218864.0
2022-06-01,Italy,0.0,686474.0,-686474.0
2022-06-01,Malaysia,0.0,966204.0,-966204.0
2022-06-01,Philippines,1232978.0,0.0,1232978.0
2022-06-01,Russia,337363.0,0.0,337363.0
2022-06-01,Singapore,0.0,875565.0,-875565.0
2022-06-01,Thailand,729571.0,720283.0,9288.0
2022-06-01,United Arab Emirates,0.0,1330965.0,-1330965.0
2022-06-01,United States,9768741.0,6769779.0,2998962.0
2022-06-01,World,57679934.0,0.0,57679934.0
2022-07-01,Australia,1964554.0,0.0,1964554.0
2022-07-01,Canada,665649.0,0.0,665649.0
2022-07-01,China,13214288.0,13823354.0,-609066.0
